,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,94,94,95,95,96,96,97,97,98,98,99,99,100,100,Name
,Total_1,Choice_1,Total_2,Choice_2,Total_3,Choice_3,Total_4,Choice_4,Total_5,Choice_5,Total_6,Choice_6,Total_7,Choice_7,Total_8,Choice_8,Total_9,Choice_9,Total_10,Choice_10,Total_11,Choice_11,Total_12,Choice_12,Total_13,Choice_13,Total_14,Choice_14,Total_15,Choice_15,Total_16,Choice_16,Total_17,Choice_17,Total_18,Choice_18,Total_19,Choice_19,Total_20,Choice_20,Total_21,Choice_21,Total_22,Choice_22,Total_23,Choice_23,Total_24,Choice_24,Total_25,Choice_25,Total_26,Choice_26,Total_27,Choice_27,Total_28,Choice_28,Total_29,Choice_29,Total_30,Choice_30,Total_31,Choice_31,Total_32,Choice_32,Total_33,Choice_33,Total_34,Choice_34,Total_35,Choice_35,Total_36,Choice_36,Total_37,Choice_37,Total_38,Choice_38,Total_39,Choice_39,Total_40,Choice_40,Total_41,Choice_41,Total_42,Choice_42,Total_43,Choice_43,Total_44,Choice_44,Total_45,Choice_45,Total_46,Choice_46,Total_47,Choice_47,Total_48,Choice_48,Total_49,Choice_49,Total_50,Choice_50,Total_51,Choice_51,Total_52,Choice_52,Total_53,Choice_53,Total_54,Choice_54,Total_55,Choice_55,Total_56,Choice_56,Total_57,Choice_57,Total_58,Choice_58,Total_59,Choice_59,Total_60,Choice_60,Total_61,Choice_61,Total_62,Choice_62,Total_63,Choice_63,Total_64,Choice_64,Total_65,Choice_65,Total_66,Choice_66,Total_67,Choice_67,Total_68,Choice_68,Total_69,Choice_69,Total_70,Choice_70,Total_71,Choice_71,Total_72,Choice_72,Total_73,Choice_73,Total_74,Choice_74,Total_75,Choice_75,Total_76,Choice_76,Total_77,Choice_77,Total_78,Choice_78,Total_79,Choice_79,Total_80,Choice_80,Total_81,Choice_81,Total_82,Choice_82,Total_83,Choice_83,Total_84,Choice_84,Total_85,Choice_85,Total_86,Choice_86,Total_87,Choice_87,Total_88,Choice_88,Total_89,Choice_89,Total_90,Choice_90,Total_91,Choice_91,Total_92,Choice_92,Total_93,Choice_93,Total_94,Choice_94,Total_95,Choice_95,Total_96,Choice_96,Total_97,Choice_97,Total_98,Choice_98,Total_99,Choice_99,Total_100,Choice_100,Study
Subj_1,-100,1,-50,1,100,2,-200,4,50,3,100,2,100,1,100,2,50,4,100,2,50,3,50,3,-200,1,100,2,-1150,2,50,4,0,3,100,1,100,2,50,4,50,3,50,4,100,2,100,1,50,4,100,1,0,3,50,4,100,2,100,1,100,2,50,4,-150,1,0,3,50,4,100,2,-250,1,100,2,50,4,50,3,-200,1,100,2,50,4,-1150,2,100,1,100,2,50,4,0,3,100,1,100,2,50,4,0,3,100,1,100,2,-200,4,50,3,50,4,100,2,-50,1,-100,1,-250,1,100,2,100,2,100,2,100,2,100,2,100,2,50,4,100,2,-1150,2,50,3,0,3,50,4,100,2,100,2,100,2,50,4,100,2,100,2,50,3,100,2,100,2,-150,1,100,2,100,2,100,2,50,4,0,3,50,4,-1150,2,100,1,100,1,-250,1,100,2,100,2,100,2,50,4,100,2,50,4,-1150,2,Horstmann
Subj_2,100,2,100,1,50,4,50,4,50,3,100,2,0,3,100,2,100,1,100,2,100,2,50,4,50,3,-50,1,100,2,100,2,50,4,50,3,100,1,100,1,0,3,100,2,-200,4,0,3,-1150,2,100,1,-100,1,50,4,100,2,50,3,-1150,2,50,4,-250,1,0,3,100,2,50,4,-150,1,50,3,100,2,50,4,100,2,50,4,100,2,50,4,0,3,-200,1,100,2,50,4,100,2,50,4,50,4,100,2,0,3,50,4,100,2,50,4,100,2,50,4,50,4,50,3,100,1,-200,4,100,2,50,3,-100,1,0,3,100,2,100,2,50,3,-250,1,50,4,100,2,50,4,100,2,50,4,100,2,50,4,-1150,2,50,4,0,3,-150,1,100,2,50,4,100,2,50,4,100,2,50,4,0,3,50,4,100,2,50,4,100,2,50,3,-200,4,-1150,2,50,4,50,4,100,2,100,2,50,4,Horstmann
Subj_3,50,4,100,2,0,3,-200,1,50,4,-1150,2,50,4,50,4,50,4,0,3,100,1,-250,1,100,1,50,4,100,1,50,4,100,2,50,4,100,2,100,1,100,2,50,3,-150,1,100,1,100,2,-50,1,100,2,50,4,100,2,50,3,100,2,50,3,100,2,-100,1,-200,4,100,2,100,1,100,1,100,2,-100,1,100,2,50,4,100,2,50,4,50,3,-200,4,100,2,100,2,100,2,-1150,2,-50,1,50,4,100,2,100,1,100,2,-200,1,100,2,50,4,100,2,50,4,100,2,100,1,50,4,100,2,50,4,100,2,100,1,-1150,2,50,4,100,2,50,4,100,2,-150,1,50,4,100,2,50,4,100,2,50,4,-250,1,100,2,50,4,-1150,2,50,4,100,2,50,4,100,2,50,4,-200,4,100,2,100,2,0,3,100,2,-100,1,50,4,100,2,100,2,100,2,50,4,100,2,100,2,Horstmann
Subj_4,-200,4,0,3,50,4,100,2,-100,1,50,4,50,3,100,2,100,2,-1150,2,50,3,50,3,100,2,50,4,0,3,50,4,100,2,-200,1,50,4,50,3,50,4,100,2,50,3,50,4,0,3,100,2,50,4,0,3,100,2,50,4,-200,4,0,3,100,2,50,4,50,3,100,2,50,4,0,3,50,4,100,2,100,1,50,4,0,3,100,1,50,4,-1150,2,50,4,100,1,0,3,50,4,100,2,-50,1,50,4,100,2,50,3,50,4,100,2,100,1,100,2,0,3,50,4,100,2,-150,1,50,4,50,3,50,4,100,2,0,3,50,4,100,1,50,3,50,4,50,3,100,2,-250,1,50,4,0,3,50,4,100,2,-50,1,50,4,50,3,100,2,-200,4,50,3,50,3,100,2,-200,1,50,4,0,3,50,4,100,2,50,3,50,4,0,3,50,4,100,1,50,4,0,3,50,4,Horstmann
Subj_5,100,1,100,2,100,2,-1150,2,100,2,0,3,50,4,100,1,50,4,100,1,-200,4,-150,1,-50,1,100,2,100,2,-250,1,0,3,50,4,50,4,50,4,50,4,-200,1,100,2,100,2,100,2,50,4,100,2,50,4,100,2,50,4,100,2,50,4,100,2,50,4,100,2,50,4,-1150,2,50,4,100,2,50,4,100,2,50,4,100,1,100,2,100,1,100,2,-100,1,-250,1,50,4,-200,4,-100,1,100,2,100,2,100,2,50,3,0,3,50,4,50,3,50,3,0,3,50,3,50,3,0,3,0,3,50,3,50,3,50,4,50,4,50,4,0,3,50,3,0,3,0,3,-50,1,100,2,0,3,50,4,-200,4,50,3,50,3,0,3,50,3,50,3,0,3,100,1,-150,1,-1150,2,100,2,100,2,100,2,100,2,100,2,100,2,-1150,2,50,3,50,3,50,3,0,3,50,4,50,4,Horstmann
Subj_6,100,2,100,2,50,3,100,2,50,4,-200,1,100,2,0,3,50,4,-1150,2,50,3,50,4,-50,1,0,3,100,2,100,2,100,2,100,2,100,2,50,4,100,2,100,2,100,2,50,4,50,3,100,2,-1150,2,100,1,100,2,100,1,100,2,-200,4,100,2,100,2,100,2,100,2,100,1,100,2,100,2,100,2,-100,1,-1150,2,100,2,100,2,100,2,100,2,100,2,-1150,2,100,2,100,2,100,2,100,2,100,2,100,1,100,2,100,2,100,2,100,2,100,2,-150,1,100,2,100,2,100,2,100,2,100,2,50,4,-1150,2,100,2,100,2,100,2,100,2,100,2,100,1,100,2,100,2,100,2,100,2,100,2,-250,1,-1150,2,100,2,100,2,100,2,100,2,100,2,50,3,100,1,100,2,-1150,2,100,2,100,2,100,2,100,2,100,2,50,4,-50,1,100,2,100,2,100,2,100,2,Horstmann
Subj_7,50,3,100,1,100,2,50,4,50,3,100,1,-200,1,100,2,50,4,0,3,100,1,100,2,50,4,0,3,100,2,50,4,-150,1,100,2,100,2,100,2,-1150,2,50,4,50,3,-250,1,50,3,-200,4,100,2,100,1,100,1,50,3,100,2,50,4,50,4,0,3,-50,1,100,2,50,4,50,4,50,4,50,4,50,4,100,2,50,4,-100,1,0,3,100,2,50,4,100,2,-200,4,-1150,2,50,4,-250,1,0,3,-150,1,50,4,100,2,100,2,100,2,50,4,100,2,50,4,100,2,50,4,100,2,100,2,100,2,100,2,50,4,100,2,0,3,50,4,100,2,100,2,100,2,50,4,-200,4,50,4,100,2,0,3,50,4,-1150,2,50,4,50,4,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,50,4,50,4,50,4,50,4,100,1,-200,1,50,4,-200,4,Horstmann
Subj_8,50,4,-250,1,100,1,100,2,50,4,50,3,50,4,100,1,50,3,100,2,50,4,100,1,100,2,0,3,50,4,50,4,-200,4,-100,1,100,2,100,2,0,3,100,1,50,4,100,2,-150,1,50,4,0,3,50,3,0,3,50,3,100,2,100,1,50,4,50,4,100,2,-200,1,50,3,0,3,0,3,0,3,100,2,-1150,2,100,2,-50,1,-50,1,100,1,100,1,-150,1,50,4,50,4,50,4,100,2,50,3,-200,1,100,2,0,3,50,3,100,2,-100,1,-1150,2,100,2,100,1,-250,1,50,4,50,4,50,3,0,3,100,1,100,1,100,1,50,4,-50,1,-200,4,-250,1,100,2,0,3,100,2,50,3,50,3,50,3,50,3,100,2,100,2,-150,1,50,4,-1150,2,50,4,50,4,100,1,0,3,100,2,100,1,-200,1,50,4,100,1,100,1,50,4,0,3,-100,1,50,4,Horstmann
